Timestamp,Open,High,Low,Close,Volume
1702144800000,2349.72,2354.24,2349.07,2352.31,11877.603
1702145700000,2352.36,2357.3,2352.36,2355.9,11741.404
1702146600000,2355.9,2362.32,2355.9,2361.83,13428.756
1702147500000,2361.83,2362.54,2359.45,2360.54,12653.964
1702148400000,2360.54,2362.2,2357.01,2362.12,11210.548
1702149300000,2362.12,2362.13,2358.61,2359.98,6948.044
1702150200000,2359.98,2362.71,2358.77,2359.99,6463.979
1702151100000,2359.99,2360.79,2357.48,2359.46,7494.916
1702152000000,2359.46,2359.93,2356.45,2356.71,6817.21
1702152900000,2356.71,2357.71,2351.36,2351.37,13146.752
1702153800000,2351.36,2355.99,2347.62,2355.29,19319.203
1702154700000,2355.29,2356.08,2353.0,2354.65,8221.288
1702155600000,2354.65,2354.69,2346.05,2346.2,14093.406
1702156500000,2346.2,2350.9,2345.35,2349.75,10051.343
1702157400000,2349.74,2360.53,2349.74,2358.09,23582.46
1702158300000,2358.09,2358.1,2354.73,2356.08,7225.394
1702159200000,2356.09,2364.3,2355.15,2363.62,15475.504
1702160100000,2363.61,2363.9,2360.02,2361.04,7121.056
1702161000000,2361.04,2362.19,2359.28,2359.99,3466.494
1702161900000,2359.99,2360.0,2354.27,2354.73,6271.165
1702162800000,2354.73,2358.99,2354.39,2356.41,9914.806
1702163700000,2356.41,2358.28,2345.24,2346.62,20999.816
1702164600000,2346.61,2348.54,2328.0,2337.83,108763.709
1702165500000,2337.82,2342.78,2334.76,2342.4,24205.47
1702166400000,2342.41,2346.78,2341.48,2344.13,25709.753
1702167300000,2344.14,2348.51,2344.14,2348.02,11673.509
1702168200000,2348.01,2350.0,2346.48,2349.41,11778.678
1702169100000,2349.41,2355.7,2348.61,2353.35,15866.544
1702170000000,2353.36,2354.02,2348.43,2349.35,13024.114
1702170900000,2349.34,2357.0,2347.59,2356.16,16490.485
1702171800000,2356.15,2356.99,2350.53,2352.72,14724.29
1702172700000,2352.73,2352.73,2350.13,2350.7,6895.02
1702173600000,2350.7,2353.51,2346.06,2346.41,15730.216
1702174500000,2346.41,2348.78,2345.2,2345.32,11084.359
1702175400000,2345.32,2349.11,2344.61,2347.82,7953.882
1702176300000,2347.82,2349.89,2346.0,2346.96,8781.557
1702177200000,2346.95,2350.78,2346.62,2349.49,7608.658
1702178100000,2349.49,2350.82,2346.92,2349.4,8247.839
1702179000000,2349.4,2353.02,2349.29,2352.0,6096.214
1702179900000,2352.0,2353.42,2350.11,2353.03,6702.807
1702180800000,2353.03,2353.2,2351.27,2351.29,6367.411
1702181700000,2351.41,2354.5,2350.35,2354.5,6144.187
1702182600000,2354.49,2356.66,2354.18,2356.01,8899.298
1702183500000,2356.02,2356.59,2354.19,2356.36,4867.153
1702184400000,2356.36,2356.89,2353.37,2354.42,8813.259
1702185300000,2354.43,2356.29,2353.8,2355.79,5175.366
1702186200000,2355.78,2359.13,2355.5,2357.17,8077.164
1702187100000,2357.17,2360.69,2355.63,2358.96,11581.869
1702188000000,2358.96,2359.53,2356.31,2356.31,5147.046
1702188900000,2356.32,2356.91,2353.62,2355.36,6376.607
1702189800000,2355.35,2355.36,2351.21,2353.84,14600.327
1702190700000,2353.84,2355.4,2349.78,2352.04,10531.665
1702191600000,2352.04,2353.1,2350.13,2350.43,6390.915
1702192500000,2350.45,2351.24,2346.0,2349.71,17105.119
1702193400000,2349.7,2351.88,2346.81,2351.64,12886.457
1702194300000,2351.64,2356.25,2351.64,2355.38,12752.061
1702195200000,2355.31,2357.96,2353.34,2353.62,17254.255
1702196100000,2353.62,2355.31,2347.55,2348.14,23787.369
1702197000000,2348.15,2349.0,2340.31,2342.89,33183.77
1702197900000,2342.88,2346.0,2342.5,2344.31,11930.809
